fuel_type,in_state_generation_GWh,percent_generation,northwest_imports_GWh,southwest_imports_GWh,energy_mix_GWh,power_mix,year
Coal,302,0.15%,409,11364,12075,4.13%,2016
Large Hydro,36920,17.89%,4531,1536,42987,14.72%,2016
Natural Gas,89564,43.40%,46,8705,98315,33.67%,2016
Nuclear,17925,8.69%,0,8594,26519,9.08%,2016
Oil,33,0.02%,0,0,33,0.01%,2016
Other (Petroleum Coke/Waste Heat),409,0.20%,0,0,409,0.14%,2016
Renewables,61183,29.65%,12502,10999,84684,29.00%,2016
Biomass,5827,2.82%,1015,32,6874,2.35%,2016
Geothermal,11745,5.69%,23,937,12705,4.35%,2016
Small Hydro,6413,3.11%,1449,5,7867,2.70%,2016
Solar,24331,11.79%,0,5465,29796,10.20%,2016
Wind,12867,6.24%,10015,4560,27442,9.40%,2016
Unspecified Sources of Power,N/A,N/A,22385,4632,27017,9.25%,2016
