year,company,eia_id,cec_id,plant,state,capacity_MW,gross_MWhm,net_MWh
2014,Aero Energy LLC,57774,W0285,Windridge Project (Retired 5/31/2015),CA,2.2,96,96
2014,Alta Wind VIII LLC,57835,W0393,Alta Wind VIII LLC,CA,150.0,282719,282719
2014,BP Wind Energy North America,50553,W0391,Edom Hills Project 1 LLC,CA,20.0,46637,46637
2014,CalWind Resources Inc,10191,W0284,Wind Resource I (Calwind Wind Resource I),CA,8.7,13895,13895
2014,CalWind Resources Inc,54909,W0320,Wind Resource II (Calwind),CA,20.0,46726,46726
2014,Coram California Development LP,57962,W0408,Coram California Development LP,CA,102.0,280834,280834
2014,Coram Energy Group Ltd,54298300,W0294,CTV Management Group - 6089 - Merged with W0263 - 12/31/2015,CA,4.5,10849,10849
2014,Difwinds Farm Ltd V,54685,W0386,Difwind Farms LTD V,CA,11.6,18202,18202
2014,EUI Management PH Inc,10027,W0268,EUIPH Wind Farm,CA,25.4,40024,40024
2014,EverPower Wind Holdings Inc,57833,W0406,Mustang Hills LLC (Alta Wind VI Energy Center),CA,150.0,304038,304038
2014,Foundation Windpower,57594,W0395,Teichert Vernalis,CA,1.5,1830,1830
2014,Foundation Windpower,57626,W0396,Safeway Tracy,CA,2.0,2235,2235
2014,Foundation Windpower,57792,W0397,IEUA,CA,1.0,387,387
2014,Foundation Windpower,57791,W0398,Anheuser-Busch,CA,1.5,2620,2620
2014,Foundation Windpower,58112,W0399,Cemex Madison,CA,1.0,1538,1538
2014,Foundation Windpower,58105,W0400,Wal-Mart Red Bluff,CA,1.0,1760,1760
2014,Foundation Windpower,58113,W0401,Robertsons Ready-Mix,CA,2.0,8856,8856
2014,Foundation Windpower,58114,W0402,Nestle Waters,CA,3.2,14021,14021
2014,Foundation Windpower,58102,W0403,Cemex BMQ,CA,3.0,3483,3483
2014,Foundation Windpower,58105,W0404,Cemex River Plant,CA,3.2,2682,2682
2014,Foundation Windpower,58104,W0405,Superior Farms,CA,1.0,1602,1602
2014,Foundation Windpower,Missing,W0456,Anheuser-Busch #2,CA,1.6,74,74
2014,FPL Energy Operating Services Inc,54647,W0270,Terra-Gen Mojave Windfarms (TPC Wind Farms - Tehachapi Power Purchase Trust),CA,28.4,72601,72601
2014,FPL Energy Operating Services Inc,52143,W0312,Mojave 3 (Mojave 3-4-5 (Desertwind II PPC Trust) - 6113),CA,23.5,59670,59670
2014,FPL Energy Operating Services Inc,50536,W0357,Solano Wind 12 (SMUD Solano Phase 2),CA,102.2,211359,211359
2014,FPL Energy Operating Services Inc,55152,W0358,Shiloh I Wind (Victory Garden Prtnr PHIV),CA,150.0,397313,397313
2014,FPL Energy Operating Services Inc,50823,W0364,Dillon Wind,CA,45.0,138754,138754
2014,FPL Energy Operating Services Inc,52143,W0365,Difwind Farms LTD I,CA,7.2,13259,13259
2014,FPL Energy Operating Services Inc,52143,W0366,Difwind Farms LTD II,CA,5.4,6875,6875
2014,Green Ridge Service LLC,Missing,W0336,Altamont Infrastructure Company - 01W144 - Retired 11/1/2015,CA,29.7,22794,22794
2014,Green Ridge Service LLC,Missing,W0348,Flowind 3-4 - Retired 10/31/2015,CA,5.0,7951,7951
2014,Hatchet Ridge Wind LLC,56654,W0369,Hatchet Ridge Wind LLC,CA,101.2,295513,295513
2014,International Turbine Research,10005,W0354,International Turbine Research Inc. (Retired June 14 2018),CA,18.6,24132,24132
2014,Los Angeles Department of Water & Power (LADWP),56433,W0368,Pine Tree Wind Power Plant,CA,135.0,285814,285814
2014,Mesa Wind Power Corporation,50535,W0260,Mesa Wind Power Corporation,CA,29.9,5030,5030
2014,Mojave 16/17/18 LLC,50822,W0313,Mojave 16 17 18 (Mojave 16-17-18  (Desertwind III PPC Trust) - 6063-6114),CA,83.1,115492,115492
2014,NextEra Energy Resources LLC,57201,W0371,FPL Energy Montezuma Winds LLC,CA,36.8,88037,88037
2014,NextEra Energy Resources LLC,57701,W0392,Montezuma Wind II,CA,78.2,210151,210151
2014,NextEra Energy Resources LLC,57700,W0394,Vasco Wind Energy Center,CA,78.2,238171,238171
2014,NextEra Energy Resources LLC,50013,W0423,Diablo Wind LLC,CA,18.0,57868,57868
2014,North Sky River Energy LLC,58121,W0414,North Sky River LLC,CA,160.0,451175,451175
2014,Not Available,50552,W0258,Cabazon Wind Partners LLC,CA,40.9,109664,109664
2014,Not Available,50532,W0271,Wind Stream Operations 6039 (Zond Systems  Inc - 6039),CA,6.3,8971,8971
2014,Not Available,50532,W0272,Wind Stream Operations 6040 (Zond Systems  Inc - 6040),CA,6.1,10668,10668
2014,Not Available,50532,W0273,Wind Stream Operations 6041 (Zond Systems  Inc - 6041),CA,4.5,6127,6127
2014,Not Available,56570,W0274,Wind Stream Operations 6042 (Zond Systems  Inc - 6042),CA,6.4,9956,9956
2014,Not Available,52161,W0275,85A (Zond Systems  Inc - 6043),CA,14.1,16498,16498
2014,Not Available,52163,W0276,85B (Zond Systems  Inc - 6044),CA,21.1,21883,21883
2014,Not Available,50536,W0289,Sky River Partnership (ESI Energy  Inc - 6065),CA,76.9,174457,174457
2014,Not Available,Missing,W0304,Victory Gardens IV (6103),CA,20.7,37265,37265
2014,Not Available,52161,W0306,Terra-Gen 251 Wind (Zond Monolith X),CA,15.7,25927,25927
2014,Not Available,Missing,W0310,Wind Stream Operations 6111 (AES Tehachapi Wind - Zond Systems  Inc - Northwind),CA,6.6,7763,7763
2014,Not Available,50533,W0311,Painted Hills Wind Developers (Zond Systems Inc - 6112),CA,19.2,32333,32333
2014,Not Available,50534,W0331,Santa Clara 85C - Decommissioned 7/1/2016,CA,16.0,16410,16410
2014,Oasis Power Partners LLC,56302,W0385,Oasis Power Partners LLC,CA,60.0,158026,158026
2014,Pettern Energy (Ocotillo LLC),57514,W0409,Ocotillo Express LLC,CA,265.4,566598,566598
2014,Ridgetop Energy LLC,54931,W0265,Ridgetop Energy II (Cannon Energy Corp),CA,47.0,145046,145046
2014,Ridgetop Energy LLC,10597,W0297,Ridgetop Energy (Cannon Energy Corp - 6092),CA,28.3,66230,66230
2014,San Gorgornio Farms Inc,50281,W0261,San Gorgonio Farms Wind Farm,CA,31.0,72754,72754
2014,San Gorgornio Farms Inc,10718,W0286,Karen Avenue Wind Farm,CA,11.7,28647,28647
2014,Seawest Energy Group,54258,W0277,Phoenix Wind (Section 20 Trust),CA,2.1,5453,5453
2014,Seawest Energy Group,50820,W0278,East Winds Project (NAWP Inc),CA,4.2,4771,4771
2014,Seawest Energy Group,40485,W0292,Altech III (NAWP Inc. - 6087),CA,27.4,39256,39256
2014,Seawest Energy Group,Missing,W0298,Seawest Industries  Inc San Jacinto - Retired 11/1/2015,CA,4.4,1277,1277
2014,Seawest Energy Group,57302,W0299,Green Power I (Dutch Energy Corp),CA,16.5,26897,26897
2014,Seawest Energy Group,56075,W0355,High Winds,CA,162.0,329419,329419
2014,Seawest Energy Group,58092,W0356,Solano Wind 3 (SMUD Solano Phase 1),CA,129.0,350992,350992
2014,See WPRS for details,Missing,W0259,Mogul Energy,CA,4.0,1752,1752
2014,See WPRS for details,50386,W0262,Windland Inc Boxcar I,CA,7.3,15447,15447
2014,See WPRS for details,Missing,W0266,CTV Management Group - 6029 - Merged with W0463 - 12/31/2015,CA,7.5,22464,22464
2014,See WPRS for details,54299,W0280,CTV Management Group - Merged with W0463 - 12/31/2015,CA,3.0,8317,8317
2014,See WPRS for details,Missing,W0301,Windland Inc Boxcar II,CA,8.0,18531,18531
2014,See WPRS for details,50754,W0319,Oak Creek Wind Power,CA,31.5,61849,61849
2014,See WPRS for details,50712,W0322,Altamont Pass Windplant -Retired 11/1/2015,CA,87.6,107122,107122
2014,See WPRS for details,Missing,W0333,ALTAMONT-  01W035 - Retired 10/31/2015,CA,50.0,79630,79630
2014,See WPRS for details,Missing,W0337,ALTAMONT - 01W146A - Retired 10/31/2015,CA,30.0,51378,51378
2014,See WPRS for details,Missing,W0340,ALTAMONT - 01W146D - Retired 11/1/2015,CA,15.0,13967,13967
2014,See WPRS for details,50001,W0346,Altamont Midway Ltd - Retired 4/1/2015,CA,9.0,9513,9513
2014,See WPRS for details,Missing,W0347,ALTAMONT - 16W011 - Retired 10/31/2015,CA,10.0,12792,12792
2014,See WPRS for details,56213,W0352,Patterson Pass -Retired 11/1/2014,CA,18.1,28216,28216
2014,See WPRS for details,Missing,W0353,Dyer Road - Retired 4/1/2015,CA,7.4,4547,4547
2014,See WPRS for details,10586,W0360,Mountain View III,CA,22.4,70370,70370
2014,See WPRS for details,54686,W0374,Difwind Farms Ltd VI,CA,24.4,39909,39909
2014,See WPRS for details,10815,W0375,Difwind VII - Retired 11/1/2015,CA,21.4,35900,35900
2014,See WPRS for details,54678,W0376,Difwind VIII - Retired 8/14/2014,CA,12.0,3257,3257
2014,See WPRS for details,Missing,W0377,DifWind IX - Retired 11/1/2015,CA,14.5,18001,18001
2014,See WPRS for details,54453,W0380,EDF Renewable Windfarm V Inc (ENXCO V),CA,16.1,33496,33496
2014,See WPRS for details,Missing,W0382,Alta Mesa Phase III - In Litigation - No reporting,CA,28.2,17116,17116
2014,See WPRS for details,Missing,W0390,Golden Acorn Casino,CA,1.0,1509,1509
2014,See WPRS for details,Missing,W0413,WAGNER WIND LLC,CA,6.0,18363,18363
2014,See WPRS for details,Missing,W0420,Manzana Wind,CA,189.0,528764,528764
2014,See WPRS for details,Missing,W0421,Shiloh III Wind Project LLC,CA,100.0,271621,271621
2014,See WPRS for details,Missing,W0422,Shiloh IV Wind Project LLC,CA,100.0,287027,287027
2014,See WPRS for details,Missing,W0426,Buena Vista Energy LLC,CA,38.0,93841,93841
2014,See WPRS for details,Missing,W0429,Helzel & Schwarzhoff 88 (Decommissioned 3/31/2016),CA,1.8,2539,2539
2014,See WPRS for details,Missing,W0430,Mountain View IV,CA,49.0,156194,156194
2014,See WPRS for details,Missing,W0437,Wintec Energy #2-A,CA,1.3,3930,3930
2014,See WPRS for details,Missing,W0439,Dutch Energy Wind Farm,CA,10.0,20083,20083
2014,See WPRS for details,Missing,W0440,Garnet Wind Energy Center,CA,6.5,20072,20072
2014,See WPRS for details,Missing,W0441,Alta X Wind Energy Center,CA,136.8,328083,328083
2014,See WPRS for details,Missing,W0442,Alta XI Wind Energy Center,CA,89.7,249985,249985
2014,See WPRS for details,Missing,W0443,Mojave 4,CA,29.0,74810,74810
2014,See WPRS for details,Missing,W0444,Mojave 5,CA,22.5,60733,60733
2014,See WPRS for details,Missing,W0445,Coram Tehachapi LP,CA,6.5,13236,13236
2014,See WPRS for details,Missing,W0446,Windpower Partners 1992  L.P - Retired 11/1/2015,CA,30.0,34365,34365
2014,See WPRS for details,Missing,W0447,San Gorgonio Wind,CA,49.5,183708,183708
2014,See WPRS for details,Missing,W0449,Terra-Gen VG Wind,CA,7.4,14100,14100
2014,See WPRS for details,Missing,W0450,Mountain View I,CA,44.4,136298,136298
2014,See WPRS for details,Missing,W0451,Mountain View II,CA,22.2,67724,67724
2014,See WPRS for details,Missing,W0452,Cabazon Wind,CA,38.8,56706,56706
2014,See WPRS for details,Missing,W0453,Windpower Partners 1991  L.P. - Retired 11/1/2015,CA,16.3,8218,8218
2014,See WPRS for details,Missing,W0455,City of Soledad,CA,1.0,340,340
2014,See WPRS for details,Missing,W0457,Taylor Farms,CA,1.0,210,210
2014,See WPRS for details,Missing,W0458,Rising Tree Wind Farm I,CA,79.2,905,905
2014,See WPRS for details,Missing,W0459,Rising Tree Wind Farm II,CA,19.8,127,127
