year,company,eia_id,cec_id,plant,state,capacity_MW,gross_MWhm,net_MWh
2017,Alta Wind VIII LLC,57835,W0393,Alta Wind VIII LLC,CA,150.0,251380,251380
2017,BP Wind Energy North America,50553,W0391,Edom Hills Project 1 LLC,CA,20.0,42858,42858
2017,CalWind Resources Inc,10191,W0284,Wind Resource I (Calwind Wind Resource I),CA,8.7,14072,14072
2017,CalWind Resources Inc,54909,W0320,Wind Resource II (Calwind),CA,20.0,48641,48641
2017,Coram California Development LP,57962,W0408,Coram California Development LP,CA,102.0,261392,261392
2017,Difwinds Farm Ltd V,54685,W0386,Difwind Farms LTD V,CA,8.0,10748,10748
2017,EUI Management PH Inc,10027,W0268,EUIPH Wind Farm,CA,25.2,37098,37098
2017,EverPower Wind Holdings Inc,57833,W0406,Mustang Hills LLC (Alta Wind VI Energy Center),CA,150.0,289376,289376
2017,Foundation Windpower,57594,W0395,Teichert Vernalis,CA,1.5,1829,1829
2017,Foundation Windpower,57626,W0396,Safeway Tracy,CA,2.0,2912,2912
2017,Foundation Windpower,57792,W0397,IEUA,CA,1.0,474,474
2017,Foundation Windpower,57791,W0398,Anheuser-Busch,CA,1.5,2948,2948
2017,Foundation Windpower,58112,W0399,Cemex Madison,CA,1.0,1831,1831
2017,Foundation Windpower,58105,W0400,Wal-Mart Red Bluff,CA,1.0,2131,2131
2017,Foundation Windpower,58113,W0401,Robertsons Ready-Mix,CA,2.0,9089,9089
2017,Foundation Windpower,58114,W0402,Nestle Waters,CA,3.2,13049,13049
2017,Foundation Windpower,58102,W0403,Cemex BMQ,CA,3.0,3383,3383
2017,Foundation Windpower,58105,W0404,Cemex River Plant,CA,3.2,3085,3085
2017,Foundation Windpower,58104,W0405,Superior Farms,CA,1.0,1550,1550
2017,Foundation Windpower,Missing,W0456,Anheuser-Busch #2,CA,1.6,3614,3614
2017,FPL Energy Operating Services Inc,54647,W0270,Terra-Gen Mojave Windfarms (TPC Wind Farms - Tehachapi Power Purchase Trust),CA,28.3,55586,55586
