County,Sector,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
SONOMA,Total,3039.18463,2965.171576,2945.374596,2949.285999,2976.718507,2931.588985,2906.653832,2886.196753,2861.184637,2949.163073,2923.415489,2866.305614,2750.959163,2864.514047,2754.251106
STANISLAUS,Non-Residential,2734.893825,3038.699942,3054.096946,3030.054766,2980.212036,2961.092141,2807.042744,2785.109466,2848.134324,2969.045687,2982.65519,3030.003968,2976.084023,2879.119127,2889.66119
STANISLAUS,Residential,1866.449099,1725.488195,1708.654083,1723.309509,1698.575804,1697.286996,1666.999718,1636.082413,1718.663578,1709.769175,1677.031351,1731.64233,1651.92123,1619.001674,1609.958342
STANISLAUS,Total,4601.342924,4764.188137,4762.751029,4753.364275,4678.787839,4658.379136,4474.042461,4421.191878,4566.797902,4678.814863,4659.68654,4761.646298,4628.005253,4498.120801,4499.619532
SUTTER,Non-Residential,351.653288,357.42167,373.365094,371.970143,372.228914,356.144625,341.377155,334.13491,348.540851,351.15852,347.114722,351.240626,309.947873,310.326,296.337366
SUTTER,Residential,298.579633,274.543176,274.445158,277.424902,275.424375,279.445385,271.619489,265.740867,276.956473,277.358295,273.806875,275.787567,259.03964,253.953909,245.326165
SUTTER,Total,650.232921,631.964846,647.810252,649.395045,647.653289,635.59001,612.996644,599.875778,625.497324,628.516816,620.921597,627.028193,568.987513,564.279909,541.663531
TEHAMA,Non-Residential,276.579471,266.730848,276.219257,260.813522,268.715251,266.005743,259.285709,252.69858,264.083205,275.108219,278.107657,249.373549,238.255228,246.674394,242.359267
TEHAMA,Residential,246.275494,229.926634,229.651559,231.062458,237.287413,238.703201,233.762771,233.175209,237.856355,233.977987,230.410313,227.426935,214.093879,216.06667,202.320126
TEHAMA,Total,522.854965,496.657482,505.870816,491.87598,506.002663,504.708944,493.04848,485.87379,501.93956,509.086206,508.51797,476.800484,452.349107,462.741063,444.679393
TRINITY,Non-Residential,125.789635,117.730556,101.051829,107.412887,108.320334,100.586127,109.583381,77.454181,83.031267,2.423341,1.991885,62.783185,63.824159,6.957762,15.714568
TRINITY,Residential,11.965413,10.999486,10.261935,10.421299,11.208753,11.473353,11.598747,11.276366,10.634786,9.987798,9.433199,8.57078,8.280921,8.415927,7.848777
TRINITY,Total,137.755048,128.730041,111.313763,117.834186,119.529087,112.059481,121.182128,88.730547,93.666053,12.411139,11.425084,71.353965,72.10508,15.373689,23.563345
TULARE,Non-Residential,2972.293699,3152.066245,3263.553744,3267.002018,3106.120818,2977.358171,2582.673513,2676.488309,2791.608955,2760.712692,2652.248654,2497.792147,2274.678009,2289.95361,2216.908428
TULARE,Residential,1286.162176,1221.377175,1219.385964,1223.528153,1207.791753,1182.436357,1162.176496,1139.392542,1187.638224,1161.595705,1117.295191,1191.525557,1085.246048,1046.76368,1038.091984
TULARE,Total,4258.455875,4373.44342,4482.939708,4490.530171,4313.912571,4159.794528,3744.850009,3815.880851,3979.247179,3922.308397,3769.543846,3689.317704,3359.924057,3336.71729,3255.000412
TUOLUMNE,Non-Residential,242.278755,238.527767,235.499722,234.274231,240.993867,233.7033,225.241857,212.050287,222.618567,203.576637,210.69033,503.201774,261.287533,222.674649,205.366731
TUOLUMNE,Residential,222.611271,209.324561,206.545733,206.145512,219.803474,220.364157,220.505524,222.835124,224.344464,224.550168,223.038633,219.30197,213.696094,217.96981,207.063058
TUOLUMNE,Total,464.890026,447.852329,442.045455,440.419743,460.797342,454.067457,445.747381,434.885411,446.963031,428.126806,433.728963,722.503744,474.983627,440.644459,412.429789
VENTURA,Non-Residential,3684.603504,3676.453577,3782.157683,3590.478036,3500.198082,3606.113603,3673.447111,3666.665306,3735.904606,4031.100022,3851.332255,3926.17542,3863.548941,3833.55243,3647.170067
VENTURA,Residential,1835.570771,1785.210931,1822.525154,1909.056139,1903.520128,1920.689052,1802.353129,1790.31363,1856.569146,1892.179471,1841.655365,1765.764993,1786.184805,1744.202656,1692.796422
VENTURA,Total,5520.174275,5461.664508,5604.682837,5499.534175,5403.71821,5526.802654,5475.80024,5456.978936,5592.473753,5923.279493,5692.98762,5691.940413,5649.733746,5577.755086,5339.966489
YOLO,Non-Residential,1198.504897,1197.331724,1197.794134,1231.610772,1194.028649,1163.681971,1149.773426,1105.342535,1166.03215,1113.701656,1132.282024,1201.822945,1205.947337,1053.031939,947.12791
YOLO,Residential,550.681613,508.110689,504.997365,505.718004,508.238888,510.870614,500.228432,494.710537,514.856311,508.267258,498.576896,511.971157,492.597295,474.012029,473.559677
YOLO,Total,1749.18651,1705.442413,1702.791499,1737.328776,1702.267537,1674.552585,1650.001857,1600.053073,1680.88846,1621.968914,1630.85892,1713.794102,1698.544633,1527.043968,1420.687587
YUBA,Non-Residential,273.189814,267.674821,269.201358,274.548897,276.876586,266.013317,262.526545,261.50058,307.045651,263.270724,276.528747,339.48088,334.840761,290.965887,206.742143
YUBA,Residential,234.708248,215.090257,210.034874,214.855318,212.555287,215.763758,208.767382,203.722227,205.290033,200.068673,198.67804,193.682356,183.28773,171.593596,158.208847
YUBA,Total,507.898062,482.765078,479.236233,489.404215,489.431873,481.777076,471.293926,465.222807,512.335684,463.339397,475.206788,533.163236,518.128491,462.559484,364.950989
