County,Sector,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
HUMBOLDT,Residential,406.479179,399.105809,389.990132,395.855367,441.881333,465.70665,476.20178,478.969039,462.076678,440.395754,416.974615,381.075575,359.185691,338.045831,315.470915
HUMBOLDT,Total,831.010326,808.32783,824.567229,840.721275,891.458298,900.384679,915.894196,927.422325,907.930378,1011.244742,1046.102675,1022.681457,961.301651,961.6152,917.554817
IMPERIAL,Non-Residential,826.383978,875.730223,867.980839,895.608096,911.037447,923.602615,915.178627,894.055068,911.697465,961.390437,877.944674,908.911968,936.079951,948.499717,912.407396
IMPERIAL,Residential,594.905845,543.159545,536.315921,539.648944,534.947372,544.227415,518.542842,501.861949,517.554177,503.984111,522.237482,527.505519,486.254405,478.134462,476.988502
IMPERIAL,Total,1421.289823,1418.889768,1404.29676,1435.25704,1445.984819,1467.83003,1433.721469,1395.917017,1429.251642,1465.374548,1400.182156,1436.417487,1422.334355,1426.634179,1389.395898
INYO,Non-Residential,269.940746,168.627695,151.183683,154.011619,172.953321,179.548967,179.868547,172.217537,173.246077,156.131532,159.44422,166.323902,165.698621,175.859962,165.568867
INYO,Residential,1281.998567,61.552344,56.874062,61.033607,60.354511,60.963913,57.765555,57.759072,58.394708,54.909089,56.812374,52.930928,56.404796,57.033355,49.450452
INYO,Total,1551.939313,230.180039,208.057745,215.045226,233.307832,240.51288,237.634102,229.976609,231.640785,211.040622,216.256594,219.254831,222.103417,232.893317,215.019319
KERN,Non-Residential,16047.78418,14265.09496,12901.91587,11988.60291,12748.15109,14399.35593,13811.58724,12859.66586,12271.54138,13303.3843,15151.84537,14398.34115,12974.29801,14662.09492,13091.06245
KERN,Residential,2391.887935,2264.619505,2267.943879,2306.08025,2275.302343,2275.99719,2141.569372,2095.804173,2171.622819,2146.901568,2091.414749,2052.653093,1972.924944,1865.689174,1832.112153
KERN,Total,18439.67212,16529.71447,15169.85974,14294.68316,15023.45343,16675.35312,15953.15661,14955.47003,14443.1642,15450.28587,17243.26012,16450.99424,14947.22296,16527.7841,14923.1746
KINGS,Non-Residential,1132.202638,1426.210327,1407.977955,1440.624966,1414.018348,1311.780468,1069.363718,1104.854984,1221.35734,1137.444539,1076.674865,1031.794557,984.742764,1008.936974,763.557326
KINGS,Residential,384.259021,365.334662,368.152945,376.954514,371.39689,368.914891,354.431955,348.665297,364.923953,358.906996,346.83855,355.592547,330.224385,326.284498,313.904631
KINGS,Total,1516.461659,1791.544989,1776.130901,1817.57948,1785.415238,1680.695359,1423.795672,1453.520281,1586.281294,1496.351535,1423.513415,1387.387104,1314.96715,1335.221472,1077.461956
