year,company,eia_id,cec_id,plant,state,capacity_MW,gross_MWhm,net_MWh
2015,Aero Energy LLC,57774,W0285,Windridge Project (Retired 5/31/2015),CA,2.2,0,0
2015,Alta Wind VIII LLC,57835,W0393,Alta Wind VIII LLC,CA,150.0,231523,231523
2015,BP Wind Energy North America,50553,W0391,Edom Hills Project 1 LLC,CA,20.0,43414,43414
2015,CalWind Resources Inc,10191,W0284,Wind Resource I (Calwind Wind Resource I),CA,8.7,12097,12097
2015,CalWind Resources Inc,54909,W0320,Wind Resource II (Calwind),CA,20.0,35263,35263
2015,Coram California Development LP,57962,W0408,Coram California Development LP,CA,102.0,237349,237349
2015,Coram Energy Group Ltd,54298300,W0294,CTV Management Group - 6089 - Merged with W0263 - 12/31/2015,CA,4.5,10140,10140
2015,Difwinds Farm Ltd V,54685,W0386,Difwind Farms LTD V,CA,11.6,15874,15874
2015,EUI Management PH Inc,10027,W0268,EUIPH Wind Farm,CA,25.5,41008,41008
2015,EverPower Wind Holdings Inc,57833,W0406,Mustang Hills LLC (Alta Wind VI Energy Center),CA,150.0,252833,252833
2015,Foundation Windpower,57594,W0395,Teichert Vernalis,CA,1.5,1598,1598
2015,Foundation Windpower,57626,W0396,Safeway Tracy,CA,2.0,2325,2325
2015,Foundation Windpower,57792,W0397,IEUA,CA,1.0,467,467
2015,Foundation Windpower,57791,W0398,Anheuser-Busch,CA,1.5,2170,2170
2015,Foundation Windpower,58112,W0399,Cemex Madison,CA,1.0,1405,1405
2015,Foundation Windpower,58105,W0400,Wal-Mart Red Bluff,CA,1.0,1889,1889
2015,Foundation Windpower,58113,W0401,Robertsons Ready-Mix,CA,2.0,7510,7510
2015,Foundation Windpower,58114,W0402,Nestle Waters,CA,3.2,12735,12735
2015,Foundation Windpower,58102,W0403,Cemex BMQ,CA,3.0,2926,2926
2015,Foundation Windpower,58105,W0404,Cemex River Plant,CA,3.2,2581,2581
2015,Foundation Windpower,58104,W0405,Superior Farms,CA,1.0,1521,1521
2015,Foundation Windpower,Missing,W0456,Anheuser-Busch #2,CA,1.6,2463,2463
2015,FPL Energy Operating Services Inc,54647,W0270,Terra-Gen Mojave Windfarms (TPC Wind Farms - Tehachapi Power Purchase Trust),CA,28.4,56134,56134
2015,FPL Energy Operating Services Inc,52143,W0312,Mojave 3 (Mojave 3-4-5 (Desertwind II PPC Trust) - 6113),CA,23.5,53314,53314
2015,FPL Energy Operating Services Inc,50536,W0357,Solano Wind 12 (SMUD Solano Phase 2),CA,102.2,212781,212781
2015,FPL Energy Operating Services Inc,55152,W0358,Shiloh I Wind (Victory Garden Prtnr PHIV),CA,150.0,417393,417393
2015,FPL Energy Operating Services Inc,50823,W0364,Dillon Wind,CA,45.0,137463,137463
2015,FPL Energy Operating Services Inc,52143,W0365,Difwind Farms LTD I,CA,7.2,11792,11792
2015,FPL Energy Operating Services Inc,52143,W0366,Difwind Farms LTD II,CA,5.4,5634,5634
2015,Green Ridge Service LLC,Missing,W0336,Altamont Infrastructure Company - 01W144 - Retired 11/1/2015,CA,34.7,18838,18838
2015,Green Ridge Service LLC,Missing,W0348,Flowind 3-4 - Retired 10/31/2015,CA,5.0,6756,6756
2015,Hatchet Ridge Wind LLC,56654,W0369,Hatchet Ridge Wind LLC,CA,101.2,266264,266264
2015,International Turbine Research,10005,W0354,International Turbine Research Inc. (Retired June 14 2018),CA,18.6,27015,27015
2015,Los Angeles Department of Water & Power (LADWP),56433,W0368,Pine Tree Wind Power Plant,CA,135.0,137070,137070
2015,Mesa Wind Power Corporation,50535,W0260,Mesa Wind Power Corporation,CA,29.9,9323,9323
2015,Mojave 16/17/18 LLC,50822,W0313,Mojave 16 17 18 (Mojave 16-17-18  (Desertwind III PPC Trust) - 6063-6114),CA,83.1,97766,97766
2015,NextEra Energy Resources LLC,57201,W0371,FPL Energy Montezuma Winds LLC,CA,36.8,97109,97109
2015,NextEra Energy Resources LLC,57701,W0392,Montezuma Wind II,CA,78.2,219504,219504
2015,NextEra Energy Resources LLC,57700,W0394,Vasco Wind Energy Center,CA,78.2,247875,247875
2015,NextEra Energy Resources LLC,50013,W0423,Diablo Wind LLC,CA,18.0,63229,63229
2015,North Sky River Energy LLC,58121,W0414,North Sky River LLC,CA,160.0,405281,405281
2015,Not Available,50552,W0258,Cabazon Wind Partners LLC,CA,40.9,104409,104409
2015,Not Available,50532,W0271,Wind Stream Operations 6039 (Zond Systems  Inc - 6039),CA,6.3,6517,6517
2015,Not Available,50532,W0272,Wind Stream Operations 6040 (Zond Systems  Inc - 6040),CA,6.7,8520,8520
2015,Not Available,50532,W0273,Wind Stream Operations 6041 (Zond Systems  Inc - 6041),CA,4.5,6342,6342
2015,Not Available,56570,W0274,Wind Stream Operations 6042 (Zond Systems  Inc - 6042),CA,6.3,9236,9236
2015,Not Available,52161,W0275,85A (Zond Systems  Inc - 6043),CA,14.1,13346,13346
2015,Not Available,52163,W0276,85B (Zond Systems  Inc - 6044),CA,21.1,17296,17296
